person_id,day,age,intervention,daily_stress,daily_recovery,daily_engagement,stress_i1,stress_i2,recovery_i1,recovery_i2,engagement_i1,engagement_i2,scenario,purchase,aigc_clicks,exposure_minutes
D001,1,44,0,3.075,2.571,3.046,3.146,3.558,2.988,2.466,3.012,2.857,S3,0,4,26
D001,2,44,0,3.465,1.023,2.686,2.996,3.216,1.0,1.346,2.685,3.077,S4,0,7,22
D001,3,44,0,3.716,1.63,3.054,4.101,3.533,1.28,1.282,3.34,2.658,S1,0,6,46
D001,4,44,0,3.23,2.348,3.71,2.966,3.006,2.4,2.264,3.596,3.945,S2,0,8,50
D001,5,44,0,3.192,1.81,3.112,3.032,3.281,1.797,1.742,3.419,3.692,S3,1,7,38
D001,6,44,0,2.503,3.425,2.926,2.697,2.421,3.656,3.268,2.625,2.829,S4,1,8,46
D001,7,44,0,3.62,2.212,2.655,3.628,3.829,2.914,2.464,2.674,3.027,S1,0,3,48
D001,8,44,0,3.31,2.872,2.68,3.174,3.12,3.111,3.402,2.723,2.694,S2,0,7,37
D001,9,44,0,3.148,1.73,2.667,3.059,3.453,1.806,2.015,3.295,2.589,S3,1,4,24
D001,10,44,0,3.821,1.92,2.937,4.122,3.458,1.639,2.099,3.4,3.408,S4,1,7,58
D002,1,50,1,2.547,4.396,3.425,3.209,2.993,4.33,4.954,3.41,3.834,S4,1,6,60
D002,2,50,1,1.531,4.461,4.003,1.825,1.559,4.185,4.33,4.234,3.742,S1,1,7,42
D002,3,50,1,2.337,4.458,3.702,2.42,2.248,4.221,4.906,3.916,4.059,S2,1,7,36
D002,4,50,1,2.055,4.221,2.861,2.434,1.859,4.352,4.687,2.83,2.447,S3,0,7,48
D002,5,50,1,1.76,4.237,3.89,1.676,1.737,3.919,4.611,4.395,4.042,S4,0,3,37
D002,6,50,1,1.625,4.306,3.261,1.255,1.914,4.424,4.279,3.394,3.341,S1,1,5,56
D002,7,50,1,2.2,4.247,3.577,2.149,2.186,3.772,4.33,3.04,3.202,S2,1,7,48
D002,8,50,1,2.62,3.562,2.855,2.386,2.878,3.435,3.693,2.903,2.866,S3,0,4,59
D002,9,50,1,2.728,3.662,2.605,2.836,2.475,3.792,3.444,2.761,2.363,S4,1,6,21
D002,10,50,1,3.694,3.208,2.386,3.536,3.829,3.667,3.035,2.923,2.471,S1,1,6,31
D003,1,37,0,2.155,2.94,2.57,2.015,2.395,3.028,2.179,2.701,2.571,S1,0,6,22
D003,2,37,0,1.945,3.113,3.279,1.976,1.705,2.652,2.996,3.673,3.269,S2,0,5,26
D003,3,37,0,2.763,2.759,3.034,2.699,3.311,2.822,3.232,3.182,3.192,S3,0,5,26
D003,4,37,0,2.38,3.841,2.656,2.246,2.666,3.619,3.761,2.451,2.499,S4,0,6,47
D003,5,37,0,1.817,4.43,3.245,2.53,1.528,4.918,4.858,3.302,3.239,S1,1,4,59
D003,6,37,0,2.154,3.365,2.997,2.827,2.449,3.606,3.352,3.388,2.976,S2,1,6,53
D003,7,37,0,1.355,3.385,2.922,1.458,1.244,3.292,3.371,3.064,3.011,S3,0,7,57
D003,8,37,0,2.372,4.117,2.889,2.484,2.078,4.341,4.502,2.865,2.588,S4,1,6,50
D003,9,37,0,2.154,3.387,2.868,1.989,2.145,3.436,3.37,2.968,2.887,S1,1,6,48
D003,10,37,0,2.301,3.485,2.956,2.145,2.047,3.277,3.389,2.746,2.534,S2,1,6,54
D004,1,22,1,3.117,3.632,2.72,3.099,3.054,3.693,3.542,2.295,3.023,S2,1,7,57
D004,2,22,1,3.54,3.621,2.483,3.423,3.344,3.644,4.03,3.087,2.029,S3,1,5,59
D004,3,22,1,3.431,3.129,2.435,3.337,3.127,2.529,3.138,2.792,2.136,S4,0,6,27
D004,4,22,1,2.926,3.779,3.465,2.422,2.693,3.729,3.551,3.214,3.825,S1,0,8,34
D004,5,22,1,3.436,3.133,2.117,3.097,3.471,3.312,3.008,1.862,2.117,S2,1,7,27
D004,6,22,1,3.762,4.854,3.352,3.519,3.522,4.954,4.488,3.895,3.622,S3,0,7,57
D004,7,22,1,2.17,3.96,3.856,1.791,2.306,3.727,4.091,3.806,3.865,S4,1,6,53
D004,8,22,1,2.426,4.154,3.472,2.333,2.188,4.691,3.975,3.753,3.256,S1,1,5,38
D004,9,22,1,2.63,5.0,2.53,2.763,2.766,5.0,5.0,2.919,1.627,S2,1,7,39
D004,10,22,1,2.703,4.791,2.959,2.312,2.867,4.827,4.683,2.6,2.85,S3,0,6,32
D005,1,24,0,4.202,2.602,2.909,4.562,4.152,2.824,2.528,2.884,2.552,S3,0,5,58
D005,2,24,0,3.654,2.125,2.259,4.082,3.654,1.974,2.245,2.201,2.134,S4,0,6,24
D005,3,24,0,3.227,2.484,2.86,3.057,3.594,1.772,2.384,3.01,2.533,S1,1,7,33
D005,4,24,0,3.398,3.011,3.137,3.622,3.176,2.947,3.391,2.165,3.16,S2,1,6,35
D005,5,24,0,3.916,2.276,2.565,4.073,4.282,2.435,2.198,2.214,2.723,S3,0,5,24
D005,6,24,0,2.845,2.827,2.591,3.381,2.881,3.176,3.174,2.779,3.123,S4,0,3,34
D005,7,24,0,3.117,3.134,3.526,2.562,3.264,3.148,3.047,3.612,3.026,S1,1,6,25
D005,8,24,0,4.361,2.24,2.159,3.996,4.705,2.389,2.258,2.494,1.767,S2,0,5,30
D005,9,24,0,3.844,2.672,3.032,3.842,3.675,3.505,2.667,3.022,3.446,S3,1,7,24
D005,10,24,0,4.798,1.812,2.329,4.495,4.142,2.018,1.715,2.134,2.208,S4,0,3,21
D006,1,24,1,4.079,3.288,4.684,3.455,4.33,3.232,3.305,4.639,5.0,S4,0,5,52
D006,2,24,1,3.61,2.617,3.313,3.609,3.346,2.402,2.471,3.148,3.031,S1,1,6,21
D006,3,24,1,3.789,2.631,4.134,3.848,3.487,2.32,2.505,3.988,4.404,S2,0,5,56
D006,4,24,1,4.318,2.125,4.037,4.642,4.199,2.335,2.14,4.455,4.366,S3,0,4,54
D006,5,24,1,4.492,2.119,2.934,4.376,4.492,2.079,2.254,2.951,3.406,S4,0,6,48
D006,6,24,1,5.0,2.026,2.595,4.57,5.0,1.873,1.694,2.284,2.696,S1,0,5,20
D006,7,24,1,4.136,2.639,4.219,3.853,3.641,2.792,3.198,4.344,4.323,S2,0,8,41
D006,8,24,1,3.156,2.589,4.248,2.769,3.225,2.991,2.716,4.72,4.303,S3,1,6,55
D006,9,24,1,3.313,2.463,3.706,3.081,3.231,2.369,2.171,3.78,3.794,S4,0,8,44
D006,10,24,1,4.484,1.937,2.838,4.608,5.0,1.982,1.683,2.679,2.977,S1,1,5,23
D007,1,50,0,1.39,3.601,3.174,1.111,1.313,3.631,3.96,2.945,3.498,S1,0,6,43
D007,2,50,0,2.532,3.262,2.018,2.477,2.269,3.386,3.263,1.806,2.248,S2,1,6,58
D007,3,50,0,3.194,3.603,3.342,3.522,3.09,3.79,3.915,3.043,2.945,S3,1,8,54
D007,4,50,0,2.91,3.018,2.926,2.898,2.8,3.244,3.548,2.974,2.731,S4,0,7,28
D007,5,50,0,2.054,4.28,3.623,2.003,1.869,4.659,4.372,3.73,3.649,S1,0,8,33
D007,6,50,0,1.726,4.281,3.587,1.678,1.572,4.263,4.278,3.577,3.547,S2,1,5,30
D007,7,50,0,2.359,3.568,2.461,2.51,1.725,3.659,3.672,3.047,1.907,S3,0,4,50
D007,8,50,0,2.935,3.662,3.108,2.514,3.016,3.323,3.518,3.482,3.355,S4,0,5,51
D007,9,50,0,2.927,3.073,2.004,2.703,2.709,3.391,2.957,1.985,1.822,S1,1,4,30
D007,10,50,0,2.747,3.589,2.335,3.035,2.484,3.707,3.353,2.224,2.412,S2,0,4,46
D008,1,58,1,2.222,4.141,3.259,2.226,2.206,4.014,4.347,3.285,3.83,S2,1,5,38
D008,2,58,1,2.569,3.923,3.682,2.685,2.446,3.99,3.52,3.194,2.979,S3,1,4,52
D008,3,58,1,2.857,3.886,3.314,2.607,2.893,4.058,4.315,3.653,3.339,S4,1,7,34
D008,4,58,1,3.191,3.469,3.098,3.026,3.658,3.062,3.982,3.255,3.13,S1,1,4,52
D008,5,58,1,3.563,2.874,2.464,3.335,3.839,3.45,2.892,2.432,2.504,S2,1,7,37
D008,6,58,1,2.76,3.957,3.828,2.797,2.85,3.676,3.458,3.994,3.726,S3,1,6,34
D008,7,58,1,1.633,3.928,3.03,1.689,1.598,4.012,3.522,3.031,2.649,S4,0,7,37
D008,8,58,1,2.421,3.651,3.395,2.566,2.392,3.365,3.6,3.32,3.397,S1,1,7,34
D008,9,58,1,1.491,3.507,2.752,1.633,1.078,3.622,3.328,2.694,2.571,S2,1,7,54
D008,10,58,1,2.351,3.03,2.998,2.692,2.882,3.164,3.212,3.001,2.819,S3,0,6,21
D009,1,50,0,3.316,2.869,3.65,3.444,3.406,3.076,2.868,3.295,3.719,S3,0,6,39
D009,2,50,0,4.153,1.798,1.776,3.977,4.029,1.801,1.817,1.527,1.493,S4,1,2,34
D009,3,50,0,3.151,2.218,3.216,3.375,2.902,2.028,1.779,2.792,3.623,S1,0,6,32
D009,4,50,0,3.471,2.168,2.983,3.516,3.203,1.993,2.002,2.701,3.2,S2,0,4,32
D009,5,50,0,2.938,2.83,2.554,3.057,3.255,2.856,3.043,2.138,2.601,S3,0,5,30
D009,6,50,0,3.077,2.187,2.741,2.853,3.551,2.432,2.166,2.387,2.809,S4,1,6,34
D009,7,50,0,3.977,1.591,1.694,4.243,3.912,1.857,1.68,1.762,1.354,S1,1,2,30
D009,8,50,0,3.481,2.184,3.361,3.66,3.344,2.812,2.31,3.623,3.718,S2,1,7,37
D009,9,50,0,2.826,2.027,3.227,2.824,3.341,2.213,1.948,3.402,3.443,S3,0,6,30
D009,10,50,0,3.85,2.134,2.679,3.675,4.115,2.13,1.624,2.414,3.259,S4,1,6,41
D010,1,43,1,3.553,2.457,3.26,3.149,3.694,1.894,2.101,3.435,2.491,S4,0,8,56
D010,2,43,1,3.001,3.482,3.748,2.814,3.373,4.022,3.732,3.85,3.376,S1,0,7,28
D010,3,43,1,2.746,2.669,3.065,2.745,2.902,2.387,3.255,3.314,2.924,S2,0,5,42
D010,4,43,1,3.386,3.167,2.477,3.533,3.315,3.056,3.417,2.218,2.811,S3,1,5,57
D010,5,43,1,2.845,2.755,3.062,2.998,2.636,3.045,2.552,3.2,2.839,S4,1,4,28
D010,6,43,1,2.326,3.441,2.672,2.227,2.407,3.148,3.835,2.787,2.576,S1,0,6,45
D010,7,43,1,2.115,2.903,2.888,1.857,2.147,3.087,2.585,2.673,3.151,S2,0,5,33
D010,8,43,1,2.227,3.262,3.549,1.421,2.147,3.748,3.458,3.535,3.473,S3,1,6,49
D010,9,43,1,2.552,3.793,2.475,2.298,2.681,3.903,3.962,2.267,2.403,S4,1,6,57
D010,10,43,1,1.575,3.369,3.392,1.949,1.848,3.424,3.574,3.048,3.684,S1,1,4,56
D011,1,38,0,3.73,3.137,3.263,3.391,4.21,3.414,3.245,3.282,3.442,S1,1,7,27
D011,2,38,0,3.15,2.79,3.782,2.732,2.583,3.272,2.472,4.09,3.695,S2,1,7,29
D011,3,38,0,4.837,2.389,3.245,5.0,5.0,2.288,2.665,3.22,3.255,S3,0,5,53
D011,4,38,0,4.209,2.529,4.347,4.003,4.318,2.833,2.843,4.549,4.411,S4,0,8,51
D011,5,38,0,4.577,2.069,3.049,4.53,4.543,1.939,1.657,3.02,2.878,S1,0,5,53
D011,6,38,0,4.603,1.367,2.682,4.433,4.537,1.261,1.338,2.816,2.611,S2,0,5,21
D011,7,38,0,4.298,2.266,2.772,4.196,4.235,2.149,2.023,2.707,3.037,S3,0,6,24
D011,8,38,0,4.082,2.43,2.583,4.222,4.028,2.207,1.985,1.817,2.602,S4,0,6,56
D011,9,38,0,4.084,2.326,2.718,3.996,4.122,2.1,2.457,2.974,2.481,S1,1,5,56
D011,10,38,0,4.015,2.666,2.953,4.302,4.363,3.332,2.448,2.646,2.192,S2,1,6,58
D012,1,29,1,2.23,3.748,3.551,2.467,2.101,3.934,4.651,3.724,3.961,S2,1,4,51
D012,2,29,1,2.038,3.985,3.435,2.129,1.786,4.208,4.55,3.456,3.239,S3,1,8,51
D012,3,29,1,1.85,3.343,3.116,2.096,1.713,3.071,3.342,2.312,2.833,S4,1,7,51
D012,4,29,1,3.064,2.818,3.085,2.688,3.04,2.532,2.518,3.494,2.835,S1,0,4,28
D012,5,29,1,1.965,2.977,2.941,1.666,2.201,2.927,2.754,3.435,3.307,S2,0,3,45
D012,6,29,1,1.608,2.831,2.879,2.069,1.608,2.945,2.668,2.73,2.556,S3,1,4,43
D012,7,29,1,1.877,3.91,3.8,2.311,1.533,3.791,3.263,3.658,4.147,S4,1,4,36
D012,8,29,1,2.317,4.25,3.625,2.421,1.454,4.338,4.351,3.585,3.478,S1,0,5,25
D012,9,29,1,2.392,3.878,3.517,2.438,2.554,4.15,3.637,3.273,3.622,S2,1,4,20
D012,10,29,1,2.693,3.717,4.076,2.808,2.688,3.781,3.609,3.836,3.847,S3,0,6,55
D013,1,39,0,2.85,3.711,3.633,2.683,3.131,3.573,3.733,3.79,3.502,S3,1,6,51
D013,2,39,0,3.328,3.933,2.578,3.668,3.086,4.02,3.329,2.58,2.271,S4,1,4,44
D013,3,39,0,1.0,3.978,3.769,1.0,1.0,4.35,3.985,4.076,3.852,S1,1,5,58
D013,4,39,0,2.806,3.619,3.538,2.737,2.19,3.417,3.641,3.376,3.503,S2,0,7,30
D013,5,39,0,3.836,3.024,3.015,3.137,3.742,3.292,2.9,3.366,3.187,S3,0,4,40
D013,6,39,0,2.219,3.588,3.334,1.521,2.317,3.679,3.632,3.909,3.445,S4,1,6,58
D013,7,39,0,2.257,4.006,4.616,2.519,2.235,4.078,4.349,4.628,4.655,S1,1,4,53
D013,8,39,0,2.89,4.371,3.403,2.299,3.22,4.496,4.429,3.394,3.692,S2,1,5,49
D013,9,39,0,3.28,4.217,3.141,3.313,3.613,4.361,3.691,2.998,3.069,S3,1,7,54
D013,10,39,0,2.727,3.461,3.92,2.397,3.523,3.599,3.228,3.693,3.853,S4,1,8,49
D014,1,52,1,3.488,2.773,2.959,3.699,3.238,2.375,2.88,3.12,3.028,S4,0,6,30
D014,2,52,1,2.873,2.81,2.615,2.497,2.375,2.929,2.278,2.591,2.299,S1,0,6,32
D014,3,52,1,2.952,3.37,2.655,2.855,2.846,3.236,3.232,2.786,2.468,S2,1,5,31
D014,4,52,1,2.039,2.423,2.473,1.919,2.473,2.371,2.718,2.846,2.527,S3,0,5,45
D014,5,52,1,1.568,4.343,3.502,1.084,1.776,4.079,4.175,2.866,3.658,S4,1,6,24
D014,6,52,1,2.496,3.627,3.331,2.534,2.26,3.939,3.14,3.402,3.716,S1,1,7,54
D014,7,52,1,2.368,2.807,3.105,2.516,2.5,2.403,2.696,3.385,2.922,S2,1,4,20
D014,8,52,1,2.619,3.293,3.224,2.583,2.633,3.608,3.351,3.403,2.989,S3,0,4,31
D014,9,52,1,3.286,3.066,3.107,3.005,2.568,2.634,3.061,3.486,2.83,S4,1,5,26
D014,10,52,1,3.069,2.682,3.104,3.373,2.342,2.487,2.445,3.209,2.969,S1,1,4,54
D015,1,45,0,2.597,3.208,3.719,2.503,2.742,3.118,2.873,3.818,3.796,S1,0,6,50
