person_id,occasion,emotion,ai_trust,scenario,purchase,aigc_clicks,exposure_minutes
I001,1,-1.374,0.106,S3,0,4,21
I001,2,-1.557,-0.576,S4,1,6,30
I001,3,-0.035,-0.65,S5,0,6,45
I001,4,-0.408,-0.247,S1,0,6,59
I001,5,-1.572,-0.258,S2,0,6,26
I001,6,-1.365,-1.198,S3,0,5,15
I001,7,-0.921,-0.642,S4,0,5,52
I001,8,-0.833,-1.001,S5,0,2,49
I001,9,-2.323,-0.511,S1,0,6,53
I001,10,-1.125,-0.644,S2,1,2,45
I001,11,-1.601,-1.294,S3,0,7,28
I001,12,-1.343,-0.879,S4,1,3,32
I001,13,-1.445,-1.366,S5,0,5,41
I001,14,-1.675,-1.372,S1,1,6,44
I001,15,-1.782,-2.305,S2,0,6,28
I001,16,-1.601,-2.298,S3,0,3,44
I001,17,-1.937,-1.624,S4,0,6,44
I001,18,-1.635,-2.107,S5,1,3,53
I001,19,-1.935,-1.899,S1,1,5,33
I001,20,-2.92,-3.146,S2,0,4,37
I001,21,-2.702,-1.187,S3,0,3,45
I001,22,-1.36,-0.138,S4,0,5,59
I001,23,-1.041,0.451,S5,0,6,48
I001,24,-1.695,0.861,S1,1,5,49
I001,25,-1.354,0.296,S2,1,2,44
I002,1,-1.271,0.487,S4,0,5,24
I002,2,-1.806,1.047,S5,0,4,35
I002,3,-1.775,1.179,S1,0,7,57
I002,4,-1.765,1.16,S2,1,6,36
I002,5,-0.357,0.721,S3,0,6,31
I002,6,-0.707,1.011,S4,1,6,30
I002,7,0.266,1.862,S5,1,3,58
I002,8,-0.912,1.334,S1,0,7,46
I002,9,-0.88,0.314,S2,0,5,24
I002,10,-1.663,-0.55,S3,1,6,17
I002,11,-1.544,-0.022,S4,0,4,43
I002,12,-1.107,0.935,S5,0,4,25
I002,13,-0.274,1.415,S1,1,7,31
I002,14,-0.472,1.766,S2,0,10,54
I002,15,-0.295,1.558,S3,0,7,31
I002,16,-0.475,0.917,S4,0,5,57
I002,17,-0.117,0.998,S5,1,4,37
I002,18,-1.45,1.678,S1,1,4,58
I002,19,-0.864,2.047,S2,0,5,59
I002,20,-1.779,1.19,S3,1,8,22
I002,21,-2.485,1.17,S4,1,8,18
I002,22,-1.708,1.736,S5,1,7,16
I002,23,-0.542,1.397,S1,0,4,45
I002,24,-0.603,0.172,S2,0,1,30
I002,25,-2.018,0.492,S3,0,3,47
I003,1,0.433,0.156,S5,0,3,37
I003,2,-0.201,-0.101,S1,0,3,23
I003,3,-0.323,1.118,S2,0,8,52
I003,4,-1.103,1.017,S3,0,7,21
I003,5,-0.265,0.12,S4,1,4,32
I003,6,-1.006,0.625,S5,0,4,59
I003,7,-1.128,-0.204,S1,0,5,16
I003,8,-0.719,-0.732,S2,0,9,31
I003,9,-1.335,-1.288,S3,0,4,17
I003,10,-1.188,-0.386,S4,1,3,57
I003,11,-1.187,-0.178,S5,0,5,23
I003,12,-0.647,-0.688,S1,0,5,15
I003,13,-0.693,-0.185,S2,0,6,35
I003,14,-1.496,0.237,S3,0,5,17
I003,15,-0.584,-0.712,S4,1,6,52
I003,16,-0.7,-0.57,S5,0,6,16
I003,17,-0.008,-0.809,S1,0,6,34
I003,18,-0.884,-0.353,S2,0,6,22
I003,19,-0.979,0.964,S3,0,7,52
I003,20,-0.791,0.861,S4,1,6,30
I003,21,-1.255,-0.312,S5,0,4,33
I003,22,-0.749,-0.332,S1,0,5,54
I003,23,-1.163,-0.611,S2,0,2,24
I003,24,-0.794,-0.35,S3,0,3,30
I003,25,-1.186,-0.626,S4,0,6,34
I004,1,0.39,0.913,S1,0,4,45
I004,2,1.77,1.519,S2,0,5,53
I004,3,3.436,0.98,S3,1,6,40
I004,4,2.122,1.13,S4,1,7,55
I004,5,1.659,0.911,S5,1,4,46
I004,6,2.1,0.792,S1,0,7,54
I004,7,1.168,0.414,S2,0,5,37
I004,8,1.1,0.45,S3,0,5,48
I004,9,1.115,1.22,S4,0,4,49
I004,10,0.996,0.441,S5,1,3,46
I004,11,0.817,0.441,S1,1,4,50
I004,12,0.983,1.231,S2,0,6,21
I004,13,-0.025,-0.243,S3,0,4,40
I004,14,0.771,0.022,S4,0,6,57
I004,15,1.651,0.579,S5,0,6,19
I004,16,0.739,1.038,S1,0,5,42
I004,17,0.701,0.583,S2,0,6,33
I004,18,2.156,0.134,S3,0,7,58
I004,19,0.988,0.969,S4,1,7,37
I004,20,2.079,-0.089,S5,0,7,26
I004,21,2.525,0.793,S1,0,5,29
I004,22,1.638,0.042,S2,1,5,48
I004,23,1.668,-0.063,S3,0,6,42
I004,24,1.426,1.222,S4,1,6,18
I004,25,1.693,1.909,S5,0,4,21
I005,1,-1.925,-0.321,S2,0,4,34
I005,2,-1.621,-1.036,S3,0,5,21
I005,3,-1.265,-0.881,S4,0,5,38
I005,4,-2.356,-1.079,S5,1,6,57
I005,5,-1.247,-1.292,S1,0,7,26
I005,6,-2.32,-0.49,S2,0,3,17
I005,7,-1.353,-0.788,S3,1,5,40
I005,8,-1.55,-0.515,S4,0,7,31
I005,9,-0.929,-0.885,S5,1,4,39
I005,10,-1.193,-0.769,S1,0,6,34
I005,11,-1.353,-0.31,S2,0,8,56
I005,12,-1.097,-0.954,S3,0,4,34
I005,13,-1.323,-0.519,S4,1,7,30
I005,14,-2.154,0.334,S5,0,5,30
I005,15,-1.776,-0.635,S1,0,6,21
I005,16,-1.775,-1.206,S2,0,5,16
I005,17,-1.375,0.202,S3,0,7,37
