var_autonomy,var_engagement,var_performance
3.94,3.689,3.387
2.882,3.231,2.824
3.102,3.031,2.502
3.702,3.283,3.186
2.579,3.372,3.791
2.902,2.936,3.102
3.22,2.144,2.463
3.067,3.124,2.859
2.21,2.363,2.292
2.826,3.602,3.523
2.824,3.609,3.951
1.274,2.496,3.103
3.241,3.101,3.016
3.528,3.403,3.436
3.556,3.281,3.381
2.97,2.952,3.318
3.674,3.592,3.248
3.034,3.927,3.528
3.07,2.846,2.044
2.922,2.712,2.4
3.75,3.119,3.641
3.077,2.93,3.873
3.21,3.339,3.939
3.542,2.906,3.567
3.655,3.174,3.791
2.119,2.499,2.468
2.993,2.72,3.655
2.314,2.055,2.017
2.68,3.117,2.649
2.97,2.972,2.633
2.775,2.729,2.71
4.194,3.594,3.598
4.204,2.939,3.585
3.004,2.506,2.388
3.995,3.411,3.35
3.541,3.98,4.216
3.634,3.0,3.15
3.244,3.027,2.629
3.55,3.57,2.432
2.514,2.601,2.176
3.316,2.482,2.505
2.82,2.744,3.001
3.469,2.988,3.937
3.739,3.357,3.191
2.537,3.158,3.167
2.666,2.481,3.581
2.378,1.61,2.474
4.191,3.564,3.644
2.512,2.425,2.325
2.465,2.617,2.151
3.733,3.145,2.238
3.718,3.221,2.633
2.233,2.626,2.424
2.704,2.519,2.781
2.579,2.276,2.993
3.689,3.469,3.471
4.195,3.683,4.065
2.761,3.092,3.93
4.066,3.538,3.359
2.767,2.718,2.46
3.301,3.228,3.04
2.332,1.986,3.108
2.173,2.094,2.041
3.333,3.867,3.27
3.561,3.872,4.155
2.479,2.617,2.392
2.712,2.781,2.257
3.439,3.359,3.379
2.707,3.312,3.189
2.224,2.363,1.865
3.699,3.729,3.388
2.324,2.518,2.421
3.209,3.201,2.878
2.273,2.855,2.804
2.502,2.196,2.207
2.789,3.912,3.812
2.879,2.866,3.603
2.613,2.122,3.065
2.56,2.992,3.175
3.267,2.219,2.342
3.174,3.317,3.264
3.686,4.044,3.344
3.244,2.563,2.392
3.484,3.614,3.639
3.789,3.369,3.42
2.922,3.07,3.383
2.942,2.874,3.312
3.638,3.591,3.621
2.257,2.447,1.839
2.787,2.674,2.84
3.314,3.04,3.26
2.468,3.371,2.739
3.537,4.082,4.641
2.072,2.335,2.408
3.116,3.787,3.41
3.736,4.021,4.075
2.906,3.045,4.37
3.134,2.968,2.362
3.145,2.813,3.261
3.153,3.432,3.169
3.479,3.053,3.198
2.351,2.579,2.653
2.283,3.484,3.103
1.89,1.495,2.47
4.01,3.615,4.147
2.911,3.268,3.09
3.198,3.025,2.763
3.639,3.102,3.7
2.988,2.966,2.813
2.674,3.304,2.669
3.443,3.504,4.306
3.378,3.729,3.831
3.472,3.598,3.817
3.031,2.542,2.509
3.933,3.209,4.065
3.154,3.375,3.367
2.785,3.774,3.565
2.801,3.164,2.952
3.257,3.279,2.736
3.215,3.761,3.434
2.762,2.45,3.025
2.741,3.191,2.629
3.897,3.413,3.201
2.326,2.51,3.136
2.685,3.152,1.954
3.167,3.147,2.502
3.018,2.992,3.491
3.507,3.283,3.045
2.765,2.977,3.012
2.496,2.081,2.099
2.476,2.525,1.825
3.618,3.497,3.385
2.856,2.816,2.925
2.892,2.524,2.568
3.31,3.936,3.916
2.769,2.925,2.835
3.951,3.707,3.794
2.644,2.702,3.072
2.374,2.853,2.641
3.097,3.174,2.695
2.875,2.932,3.541
2.677,2.601,2.37
2.2,1.997,2.243
2.521,3.252,2.795
3.759,3.042,3.428
2.438,2.732,2.588
2.824,3.843,3.239
3.281,3.618,4.665
2.063,3.418,2.739
2.725,2.615,1.915
3.412,3.517,3.471
3.42,2.873,3.188
3.369,3.169,3.083
1.579,2.359,2.014
3.067,3.92,3.516
3.766,3.242,3.448
2.766,3.537,2.939
2.412,3.105,3.41
2.135,2.122,2.559
3.618,3.836,4.295
3.217,2.997,3.796
3.769,3.842,3.798
3.456,3.05,2.994
2.856,2.073,2.138
