respondent_id,group,age,autonomy_1,autonomy_2,autonomy_3,engagement_1,engagement_2,engagement_3,purchase_1,purchase_2,purchase_3
1,A,29,1,1,1,2,2,2,2,3,2
2,B,37,3,4,4,3,3,3,4,4,4
3,A,42,3,4,4,2,2,3,2,3,3
4,B,30,3,5,4,3,3,4,4,3,3
5,A,38,3,4,3,2,3,3,2,3,2
6,B,51,,3,3,2,1,2,4,3,3
7,A,20,2,3,3,3,3,3,2,3,3
8,B,46,4,4,4,3,4,3,,4,3
9,A,34,4,5,,5,5,5,4,4,4
10,B,26,3,3,4,3,4,4,4,3,2
11,A,45,3,3,3,3,4,3,3,2,3
12,B,41,4,3,3,4,4,4,4,4,4
13,A,29,3,3,4,2,4,4,3,2,2
14,B,41,4,4,4,3,4,4,4,4,3
15,A,28,4,4,4,3,3,3,3,3,4
16,B,28,3,4,3,2,3,2,3,3,3
17,A,31,3,1,,3,3,3,2,3,3
18,B,31,3,4,5,4,4,5,4,4,3
19,A,29,4,4,5,3,3,3,3,3,4
20,B,43,,1,2,2,3,2,2,2,3
21,A,43,3,3,3,3,3,3,3,4,3
22,B,33,5,5,5,3,4,4,4,4,3
23,A,35,2,2,4,3,2,2,2,2,3
24,B,47,3,2,1,1,2,3,3,4,4
25,A,43,4,,4,4,5,5,5,4,4
26,B,47,2,2,3,3,5,4,3,2,4
27,A,35,3,3,2,3,3,3,3,4,5
28,B,59,4,3,3,3,3,4,3,3,4
29,A,35,4,5,4,3,4,5,4,4,4
30,B,41,3,3,2,3,3,3,3,3,4
31,A,40,2,1,3,3,3,3,2,3,3
32,B,34,2,1,1,3,2,2,3,3,3
33,A,27,4,3,3,4,4,4,4,4,3
34,B,26,3,3,3,4,4,3,3,2,3
35,A,33,4,3,4,4,3,3,4,4,4
36,B,20,1,2,1,2,3,2,2,2,2
37,A,29,3,3,4,2,2,2,2,3,3
38,B,44,1,2,3,3,3,3,3,3,2
39,A,37,4,4,4,3,2,3,,3,3
40,B,39,4,2,4,3,3,3,2,3,2
41,A,41,1,1,2,2,2,2,1,2,2
42,B,39,4,3,4,4,3,4,4,4,4
43,A,27,5,4,4,2,4,4,3,4,4
44,B,37,4,3,3,4,4,4,3,3,3
45,A,42,3,3,4,2,3,4,5,4,4
46,B,40,4,4,4,4,,4,3,3,3
47,A,35,3,4,3,2,3,3,3,4,4
48,B,36,3,2,,3,3,4,4,3,4
49,A,38,2,3,3,2,2,3,2,2,2
50,B,41,3,3,2,2,1,3,3,3,3
51,A,45,3,3,3,2,3,3,2,2,3
52,B,28,2,2,3,3,4,3,3,4,2
53,A,41,3,2,3,2,3,2,3,2,2
54,B,32,2,2,3,3,3,1,3,3,3
55,A,30,4,4,5,2,3,2,3,3,
56,B,22,3,2,3,4,4,3,4,4,4
57,A,26,2,3,3,3,3,3,3,3,3
58,B,36,3,2,3,2,1,2,2,2,2
59,A,29,4,4,4,2,2,2,3,3,4
60,B,31,3,4,4,3,4,4,3,3,3
61,A,27,2,3,3,4,5,4,3,2,2
62,B,31,2,2,2,3,3,5,3,3,2
63,A,34,2,1,2,2,2,2,2,3,3
64,B,28,2,2,2,2,2,4,3,3,3
65,A,47,2,1,3,3,3,2,3,3,3
66,B,39,3,3,2,3,3,3,4,3,4
67,A,38,4,4,4,3,3,3,2,3,3
68,B,34,3,3,3,4,5,5,4,4,4
69,A,42,1,3,,2,2,3,4,,3
70,B,32,2,3,2,2,2,2,2,2,2
71,A,41,3,3,3,3,4,3,3,4,4
72,B,30,4,4,3,4,5,4,3,4,4
73,A,48,3,4,2,1,2,2,3,2,3
74,B,32,3,4,3,2,3,3,3,3,4
75,A,32,3,3,4,3,3,4,3,4,3
76,B,33,4,4,4,4,4,4,4,3,3
77,A,35,2,3,4,4,3,3,2,3,3
78,B,20,2,2,2,3,3,3,4,4,4
79,A,35,3,3,3,3,3,3,3,4,3
80,B,34,3,3,3,3,3,3,3,4,3
81,A,36,3,3,3,4,3,4,4,3,5
82,B,40,4,3,3,3,2,3,3,3,3
83,A,28,2,2,1,2,2,3,3,2,3
84,B,24,2,2,3,3,3,3,3,3,2
85,A,49,2,2,2,4,3,4,2,2,3
86,B,38,3,2,2,2,2,2,3,2,3
87,A,33,4,3,3,3,5,3,3,4,4
88,B,33,3,3,4,3,4,2,3,3,3
89,A,31,5,4,4,3,3,4,2,2,3
90,B,42,3,4,4,3,3,2,3,3,3
91,A,39,1,2,2,1,3,3,2,3,3
92,B,37,2,2,3,2,2,2,1,3,2
93,A,38,3,3,4,2,3,3,2,3,3
94,B,33,1,2,1,1,1,1,2,1,1
95,A,39,4,3,4,4,4,5,3,4,4
96,B,28,3,4,3,4,5,4,3,3,4
97,A,32,2,3,3,3,3,3,2,1,3
98,B,22,3,4,3,4,3,4,2,3,3
99,A,39,3,4,4,2,3,3,3,3,4
100,B,34,,2,3,2,2,1,1,2,2
101,A,39,4,4,4,3,4,4,3,3,3
102,B,48,2,3,3,3,2,3,3,3,4
103,A,40,3,3,3,5,5,4,3,4,4
104,B,49,2,2,2,2,2,3,1,2,2
105,A,42,2,3,2,2,3,2,2,3,3
106,B,33,3,3,3,3,4,5,3,4,
107,A,20,3,4,4,3,3,3,4,4,4
108,B,34,4,4,4,3,3,3,3,3,3
109,A,34,1,2,2,3,3,3,4,2,3
110,B,44,3,3,3,2,2,2,4,4,3
111,A,39,2,1,2,3,3,3,3,3,3
112,B,23,3,3,4,2,2,2,3,3,3
113,A,38,4,3,5,4,3,3,4,4,4
114,B,28,4,3,3,3,4,3,4,4,4
115,A,30,3,2,3,3,3,2,3,3,2
116,B,50,3,4,3,3,3,3,4,3,4
117,A,42,3,2,3,2,2,3,3,3,4
118,B,26,4,3,3,3,4,3,2,3,4
119,A,24,3,3,4,3,2,2,3,3,3
120,B,21,2,2,,2,2,2,2,2,3
121,A,46,2,1,2,2,2,2,3,3,4
122,B,41,4,5,4,4,4,5,4,4,4
123,A,40,4,3,5,5,4,,4,3,4
124,B,32,3,3,4,,4,5,4,3,4
125,A,28,3,2,4,3,3,3,3,2,3
126,B,42,3,3,4,5,5,4,4,5,4
127,A,39,4,4,5,4,4,4,2,3,3
128,B,41,4,4,5,4,4,3,5,4,3
129,A,45,3,4,4,4,4,4,5,4,4
130,B,20,3,3,3,3,4,4,4,3,3
131,A,34,5,4,4,4,5,5,4,4,5
132,B,29,2,2,2,4,4,4,3,3,3
133,A,42,3,4,4,3,4,4,4,4,4
